obstacle_width,obstacle_height,dino_position_y,distanceFromNextObstacle,speed,label
732,325,310,652.1725231869249,23,Run
709,325,310,629.1788299045033,23,Run
686,325,310,606.1856151378058,23,Run
663,325,310,583.1929354853332,23,Run
640,325,310,560.2008568361887,23,Run
617,325,310,537.2094563575738,23,Run
594,325,310,514.2188250151875,23,Run
571,325,310,491.2290708009859,23,Run
548,325,310,468.2403229112162,23,Run
525,325,310,445.25273721786374,23,Run
502,325,310,422.26650352591315,23,Run
479,325,310,399.2818553353007,23,Run
456,325,310,376.29908317719827,23,Run
433,325,310,353.3185531499867,23,Run
410,325,310,330.3407331831786,23,Run
387,325,310,307.3662310664592,23,Run
364,325,310,284.3958508839396,23,Run
341,325,310,261.43067914841214,23,Run
318,325,276,242.99176940793694,23,Jump
295,325,245,229.40139493908924,23,Jump
272,325,217,220.29071700822982,23,Jump
249,325,192,215.05813167606567,23,Jump
226,325,170,212.93426215618754,23,Jump
203,325,152,212.26869764522513,23,Jump
180,325,137,212.94130646729863,23,Jump
157,325,125,214.3105223734943,23,Jump
134,325,116,215.8633827215723,23,Jump
111,325,110,217.2233873228203,23,Jump
88,325,108,217.14741536569116,23,Jump
65,325,109,216.52020690919358,23,Jump
42,325,113,215.37873618349607,23,Jump
19,325,120,213.88314566603887,23,Jump
-4,325,130,212.32286735064596,23,Jump
-27,325,144,210.261741645978,23,Jump
1100,300,161,1029.427510803942,23,Jump
1077,300,181,1004.0766902981067,23,Jump
1054,300,204,978.719571685373,23,Jump
1031,300,230,953.5727554832929,23,Jump
1008,300,260,928.8616689260032,23,Jump
985,300,293,905.0270714183084,23,Jump
962,300,310,882.0566875207057,23,Run
939,300,310,859.0582052457214,23,Run
916,300,310,836.0598064731972,24,Run
892,300,310,812.0615740200985,24,Run
868,300,310,788.0634492222057,24,Run
844,300,310,764.0654422233739,24,Run
820,300,310,740.0675644831356,24,Run
796,300,310,716.0698289971447,24,Run
772,300,310,692.0722505634798,24,Run
748,300,310,668.0748461063326,24,Run
724,300,310,644.0776350720463,24,Run
700,300,310,620.0806399170998,24,Run
676,300,310,596.0838867139423,24,Run
652,300,310,572.0874059092719,24,Run
628,300,310,548.0912332814675,24,Run
604,300,310,524.0954111609832,24,Run
580,300,310,500.0999900019995,24,Run
556,300,310,476.10503042921107,24,Run
532,300,310,452.1106059362023,24,Run
508,300,310,428.11680649093887,24,Run
484,300,310,404.1237434252039,24,Run
460,300,310,380.13155617496426,24,Run
436,300,310,356.14042174400817,24,Run
412,300,310,332.150568266863,24,Run
388,300,310,308.162294903189,24,Run
364,300,276,285.01228043717697,24,Jump
340,300,245,265.75364531836624,24,Jump
316,300,217,250.16994223927063,24,Jump
292,300,192,237.92435772740882,24,Jump
268,300,170,228.56946427727394,24,Jump
244,300,152,220.90722034374522,24,Jump
220,300,137,214.8697279748825,24,Jump
196,300,125,209.95475703112803,24,Jump
172,300,116,205.71825392998065,24,Jump
148,300,110,201.8018830437417,24,Jump
124,300,108,196.9771560359221,24,Jump
100,300,109,192.04426573058618,24,Jump
76,300,113,187.04277585621958,24,Jump
52,300,120,182.1647605877712,24,Jump
28,300,130,177.7751388693031,24,Jump
4,300,144,173.5280957078709,24,Jump
-20,300,161,171.2337583538947,24,Jump
-44,300,181,171.86331778480246,24,Jump
-68,300,204,176.40861656959956,24,Jump
1100,320,230,1023.9628899525608,24,Jump
1076,320,260,997.8055922873955,24,Jump
1052,320,293,972.3749276899317,24,Jump
1028,320,310,948.05274114893,24,Run
1004,320,310,924.0541109696986,24,Run
980,320,310,900.0555538409837,24,Run
956,320,310,876.0570757661854,24,Run
932,320,310,852.0586834250327,24,Run
908,320,310,828.0603842715819,24,Run
884,320,310,804.062186649764,24,Run
860,320,310,780.0640999302557,24,Run
836,320,310,756.066134673416,24,Run
812,320,310,732.0683028242652,24,Run
788,320,310,708.0706179471084,24,Run
764,320,310,684.0730955095369,24,Run
740,320,310,660.07575322837,24,Run
716,320,310,636.0786114938938,24,Run
692,320,310,612.0816938938789,24,Run
668,320,310,588.085027865869,24,Run
644,320,310,564.0886455159331,24,Run
620,320,310,540.0925846556311,24,Run
596,320,310,516.0968901282006,24,Run
572,320,310,492.10161552264793,24,Run
548,320,310,468.10682541488325,24,Run
524,320,310,444.1125983351519,24,Run
500,320,310,420.11903075200007,24,Run
476,320,310,396.1262425035736,24,Run
452,320,310,372.13438432910226,24,Run
428,320,310,348.1436485130815,24,Run
404,320,310,324.154284253656,24,Run
380,320,276,303.2094985319556,24,Jump
356,320,245,286.0087411251621,24,Jump
332,320,217,272.237029075767,24,Jump
